Particip,Happ_Angry,Script,Angry-Rating,Happy-Rating,Prosody, 
16.00,2.00,2,1.00,4.00,Happy,
17.00,2.00,2,1.00,1.00,Happy,
18.00,88.00,2,2.00,1.00,Happy,
21.00,1.00,2,1.00,3.00,Happy,
24.00,2.00,2,1.00,3.00,Happy,
25.00,2.00,2,4.00,1.00,Happy,
26.00,88.00,2,1.00,2.00,Happy,
27.00,1.00,2,1.00,3.00,Happy,
28.00,1.00,2,2.00,3.00,Happy,
33.00,1.00,2,1.00,2.00,Happy,
34.00,1.00,2,2.00,3.00,Happy,
35.00,1.00,2,1.00,3.00,Happy,
36.00,1.00,2,1.00,1.00,Happy,
37.00,1.00,2,2.00,2.00,Happy,
38.00,2.00,2,2.00,3.00,Happy,
39.00,1.00,2,1.00,2.00,Happy,
40.00,2.00,2,1.00,2.00,Happy,
4.00,1.00,3,3.00,1.00,Happy,
5.00,1.00,3,1.00,2.00,Happy,
7.00,2.00,3,2.00,1.00,Happy,
8.00,2.00,3,1.00,3.00,Happy,
9.00,2.00,3,1.00,3.00,Happy,
12.00,88.00,3,1.00,2.00,Happy,
13.00,1.00,3,3.00,1.00,Happy,
14.00,2.00,3,1.00,3.00,Happy,
15.00,2.00,3,2.00,1.00,Happy,
16.00,2.00,3,1.00,4.00,Happy,
17.00,2.00,3,1.00,4.00,Happy,
18.00,88.00,3,1.00,4.00,Happy,
21.00,1.00,3,1.00,2.00,Happy,
24.00,2.00,3,1.00,4.00,Happy,
25.00,2.00,3,2.00,2.00,Happy,
26.00,88.00,3,1.00,2.00,Happy,
27.00,1.00,3,1.00,4.00,Happy,
28.00,1.00,3,2.00,3.00,Happy,
33.00,1.00,3,1.00,1.00,Happy,
34.00,1.00,3,2.00,1.00,Happy,
35.00,1.00,3,1.00,3.00,Happy,
36.00,1.00,3,1.00,4.00,Happy,
37.00,1.00,3,1.00,4.00,Happy,
38.00,2.00,3,2.00,3.00,Happy,
39.00,1.00,3,1.00,3.00,Happy,
40.00,2.00,3,2.00,3.00,Happy,
4.00,1.00,4,2.00,2.00,Happy,
5.00,1.00,4,2.00,3.00,Happy,
7.00,2.00,4,2.00,2.00,Happy,
8.00,2.00,4,2.00,2.00,Happy,
9.00,2.00,4,1.00,2.00,Happy,
12.00,88.00,4,2.00,3.00,Happy,
13.00,1.00,4,1.00,4.00,Happy,
14.00,2.00,4,2.00,2.00,Happy,
15.00,2.00,4,2.00,1.00,Happy,
16.00,2.00,4,2.00,1.00,Happy,
17.00,2.00,4,2.00,1.00,Happy,
18.00,88.00,4,1.00,4.00,Happy,
21.00,1.00,4,1.00,3.00,Happy,
24.00,2.00,4,1.00,4.00,Happy,
25.00,2.00,4,2.00,2.00,Happy,
26.00,88.00,4,1.00,1.00,Happy,
27.00,1.00,4,2.00,3.00,Happy,
28.00,1.00,4,2.00,2.00,Happy,
33.00,1.00,4,1.00,2.00,Happy,
34.00,1.00,4,2.00,3.00,Happy,
35.00,1.00,4,1.00,2.00,Happy,
36.00,1.00,4,1.00,4.00,Happy,
37.00,1.00,4,2.00,3.00,Happy,
38.00,2.00,4,2.00,3.00,Happy,
39.00,1.00,4,1.00,2.00,Happy,
40.00,2.00,4,1.00,2.00,Happy,
